,base_market,quote_market,hedge_ratio,half_life
32,ICP-USD,AAVE-USD,0.08220447263639608,3.0
33,ICP-USD,MATIC-USD,5.946383227504273,5.0
34,ICP-USD,1INCH-USD,12.635593528557656,3.0
35,ICP-USD,AVAX-USD,0.3428470354192562,4.0
36,ETC-USD,ZEC-USD,0.5385349425871447,22.0
37,ETC-USD,ENJ-USD,52.451232544310685,12.0
38,ETC-USD,RUNE-USD,15.030291810107007,18.0
39,ETC-USD,ALGO-USD,109.40485263318043,6.0
40,ETC-USD,CRV-USD,21.55413105150285,9.0
41,ETC-USD,AAVE-USD,0.28162668787554335,17.0
42,ETC-USD,AVAX-USD,1.174508366238781,20.0
43,ZEC-USD,MKR-USD,0.05187299422993247,7.0
44,ZEC-USD,ENJ-USD,97.38100901514494,6.0
45,ZEC-USD,RUNE-USD,27.906404220873426,9.0
46,ZEC-USD,ZRX-USD,148.57700077907336,4.0
47,ZEC-USD,EOS-USD,36.64635416986506,11.0
48,ZEC-USD,SUSHI-USD,36.43940828232727,18.0
49,ZEC-USD,DOGE-USD,461.7620568547833,4.0
50,ZEC-USD,MATIC-USD,37.8215406732178,9.0
51,LINK-USD,ALGO-USD,39.50251074998483,4.0
52,LINK-USD,SUSHI-USD,7.086449775622394,23.0
53,LINK-USD,ADA-USD,17.997918722334582,4.0
54,MKR-USD,FIL-USD,137.638033688999,23.0
55,MKR-USD,COMP-USD,17.771187546775817,10.0
56,BCH-USD,XLM-USD,1289.1779229860845,15.0
57,BCH-USD,ALGO-USD,682.7276159391888,14.0
58,BCH-USD,BTC-USD,0.004194842090961035,7.0
59,BCH-USD,DOT-USD,21.15800083470048,8.0
60,BCH-USD,CRV-USD,134.4637756172421,16.0
61,BCH-USD,SOL-USD,5.460902605399162,9.0
62,BCH-USD,LTC-USD,1.379399724830703,9.0
63,BCH-USD,UNI-USD,22.4587149586918,14.0
64,BCH-USD,1INCH-USD,270.15102081156334,24.0
65,CELO-USD,ENJ-USD,1.5484231462442888,8.0
66,CELO-USD,ALGO-USD,3.229284549072066,4.0
67,CELO-USD,DOGE-USD,7.342315122111107,5.0
68,ENJ-USD,RUNE-USD,0.2864881475407275,5.0
69,ENJ-USD,ZRX-USD,1.525195773159557,5.0
70,ENJ-USD,NEAR-USD,0.20529506047469281,6.0
71,ENJ-USD,ALGO-USD,2.0846548650469856,4.0
72,ENJ-USD,CRV-USD,0.41092566153650434,2.0
73,ENJ-USD,MATIC-USD,0.38833887966307384,5.0
74,RUNE-USD,YFI-USD,0.00016746038096797442,8.0
75,RUNE-USD,COMP-USD,0.033028571071494886,12.0
76,RUNE-USD,XLM-USD,13.730329041815281,17.0
77,RUNE-USD,EOS-USD,1.3127050674469447,13.0
78,RUNE-USD,NEAR-USD,0.7163809112880972,9.0
79,RUNE-USD,SUSHI-USD,1.305699221471797,8.0
80,RUNE-USD,ADA-USD,3.3137026757059953,16.0
81,RUNE-USD,BTC-USD,4.469127370693984e-05,6.0
82,RUNE-USD,DOT-USD,0.2254245954653544,6.0
83,RUNE-USD,CRV-USD,1.4339036226520678,4.0
84,RUNE-USD,DOGE-USD,16.54135566900349,6.0
85,RUNE-USD,AAVE-USD,0.018735043020582837,3.0
86,RUNE-USD,MATIC-USD,1.3552291176561422,5.0
87,RUNE-USD,1INCH-USD,2.8796344248518118,4.0
88,RUNE-USD,AVAX-USD,0.07813649328608727,3.0
89,FIL-USD,COMP-USD,0.12904349082915717,19.0
90,FIL-USD,EOS-USD,5.128728073804564,15.0
91,ZRX-USD,EOS-USD,0.24662922281784033,11.0
92,ZRX-USD,ALGO-USD,1.366550532415293,9.0
93,ZRX-USD,DOGE-USD,3.1074201102422587,6.0
94,YFI-USD,DOT-USD,1344.586236826317,14.0
95,YFI-USD,1INCH-USD,17181.701765762667,8.0
96,XLM-USD,AAVE-USD,0.0013632426086552698,14.0
97,XLM-USD,MATIC-USD,0.09857817214041299,24.0
98,XLM-USD,1INCH-USD,0.20959394892335395,9.0
99,EOS-USD,NEAR-USD,0.5455201357758975,15.0
100,EOS-USD,MATIC-USD,1.0319539402205677,7.0
101,EOS-USD,1INCH-USD,2.1925817299976376,10.0
102,NEAR-USD,ALGO-USD,10.15176578658738,10.0
103,NEAR-USD,SUSHI-USD,1.8219015118583324,16.0
104,NEAR-USD,ADA-USD,4.624443643259537,17.0
105,NEAR-USD,DOGE-USD,23.085427832208413,7.0
106,NEAR-USD,MATIC-USD,1.8909330150715677,15.0
107,ALGO-USD,DOGE-USD,2.2734819491222655,3.0
108,SUSHI-USD,CRV-USD,1.0978595071224924,4.0
109,SUSHI-USD,AAVE-USD,0.014343778697559047,5.0
110,SUSHI-USD,MATIC-USD,1.0377365564010343,3.0
111,SUSHI-USD,1INCH-USD,2.2045370383649368,8.0
112,SUSHI-USD,AVAX-USD,0.059823000119099634,5.0
113,ADA-USD,DOGE-USD,4.989887281650237,5.0
114,ADA-USD,MATIC-USD,0.4085326269045506,17.0
115,ADA-USD,1INCH-USD,0.86858498082214,8.0
116,ADA-USD,AVAX-USD,0.023561090522757906,20.0
117,BTC-USD,CRV-USD,32062.290090179384,6.0
118,BTC-USD,AAVE-USD,418.93673692666823,6.0
119,BTC-USD,MATIC-USD,30295.640099665034,11.0
120,BTC-USD,AVAX-USD,1747.1307839043957,7.0
121,BTC-USD,ETH-USD,15.03293245285111,2.0
122,DOT-USD,AAVE-USD,0.08306847026860938,7.0
123,DOT-USD,MATIC-USD,6.007230565152519,12.0
124,DOT-USD,1INCH-USD,12.76991173272812,4.0
125,CRV-USD,AAVE-USD,0.013060603717862641,2.0
126,CRV-USD,MATIC-USD,0.9447335128056339,3.0
127,SOL-USD,MATIC-USD,23.270972196301933,10.0
128,DOGE-USD,MATIC-USD,0.08188730541596641,10.0
129,MATIC-USD,1INCH-USD,2.123914988892051,6.0
130,MATIC-USD,AVAX-USD,0.05763925870898874,3.0
